ctprvn_cd,objt_id,fclty_cd,data_yr,emd_cd,fclty_nm,telno,rn_adres,sgg_cd,fclty_ty,x,y,adres
41,200151,509010,2025,41135105,씨유분당,,경기도 성남시 분당구 분당로53번길 21,41135,편의점,14151200.25,4492863.195,경기도 성남시 분당구 서현동 269-1
41,200152,509010,2025,41220117,지에스25합정타운점,,경기도 평택시 통미로35번길 16,41220,편의점,14148418.33,4438096.293,경기도 평택시 합정동 753
41,200153,509010,2025,41111137,씨유수원연화교점,,경기도 수원시 장안구 연무로 54,41111,편의점,14140446.3,4480416.792,경기도 수원시 장안구 연무동 233-21
41,200154,509010,2025,41370101,씨유오산역점,,경기도 오산시 오산로 205,41370,편의점,14145179.67,4459357.38,경기도 오산시 오산동 881-4
41,200155,509010,2025,41150106,GS25민락본,,경기도 의정부시 용민로 122,41150,편의점,14147671.14,4542757.759,경기도 의정부시 민락동 707-1
41,200156,509010,2025,41480250,지에스25파주미래점,,경기도 파주시 문산읍 봉미로 6,41480,편의점,14113901.3,4559844.365,경기도 파주시 문산읍 선유리 943-17
41,200157,509010,2025,41370113,세븐일레븐오산,,경기도 오산시 독산성로 425,41370,편의점,14142210.57,4465452.102,경기도 오산시 세교동 595-1
41,200158,509010,2025,41590253,코리아세븐신창점,,경기도 화성시 봉담읍 수영로 61-16,41590,편의점,14132594.72,4471944.644,경기도 화성시 봉담읍 수영리 672
41,200159,509010,2025,41410104,씨유군포에스에이,,경기도 군포시 엘에스로 175,41410,편의점,14131274.33,4491542.935,경기도 군포시 산본동 1026-30
41,200160,509010,2025,41670250,이마트24여주가남점,,경기도 여주시 가남읍 태평3길 41,41670,편의점,14198298.7,4468053.053,경기도 여주시 가남읍 태평리 768-4
41,200161,509010,2025,41500109,세븐일레븐이천증포,,경기도 이천시 애련정로 204,41500,편의점,14188122.56,4479229.059,경기도 이천시 증포동 135-6
41,200162,509010,2025,41630108,씨유양주자이,,경기도 양주시 삼숭로38번길 4,41630,편의점,14148869.41,4550805.328,경기도 양주시 삼숭동 267-1
41,200163,509010,2025,41590259,세븐화성향남죽전로점,,경기도 화성시 향남읍 행정죽전로3길 11,41590,편의점,14129145.82,4456584.576,경기도 화성시 향남읍 행정리 506-8
41,200164,509010,2025,41113136,세븐일레븐수원곡반,,경기도 수원시 권선구 동수원로146번길 101,41113,편의점,14141372.81,4473426.957,경기도 수원시 권선구 곡반정동 506-1
41,200165,509010,2025,41463110,씨유서천힐스점,,경기도 용인시 기흥구 서천동로43번길 5-20,41463,편의점,14146117.06,4472109.878,경기도 용인시 기흥구 서천동 780
41,200166,509010,2025,41210103,세븐광명하안대로점주,,경기도 광명시 범안로 1035,41210,편의점,14123985.99,4503696.013,경기도 광명시 하안동 651-1
41,200167,509010,2025,41171101,지에스25안양병목점,,경기도 안양시 만안구 병목안로 8,41171,편의점,14128604.09,4494952.085,경기도 안양시 만안구 안양동 782-7
41,200168,509010,2025,41115135,씨유매산로2가점,,경기도 수원시 팔달구 향교로57번길 13,41115,편의점,14138326.69,4476834.537,경기도 수원시 팔달구 매산로2가 9-1
41,200169,509010,2025,41310103,구리맞이방편의점,,경기도 구리시 건원대로34번길 32-29,41310,편의점,14153563.21,4523541.195,경기도 구리시 인창동 244-2
41,200170,509010,2025,41220330,이마트24R고덕16블럭점,,경기도 평택시 고덕여염5길 112,41220,편의점,14142271.3,4444058.479,경기도 평택시 고덕동 2275-8
41,200171,509010,2025,41290107,씨유과천래미안점,,경기도 과천시 관문로 143,41290,편의점,14136783.68,4499731.948,경기도 과천시 중앙동 71
41,200172,509010,2025,41480253,지에스GS25뉴파주,,경기도 파주시 파주읍 윗가마울길 60,41480,편의점,14118638.82,4553691.768,경기도 파주시 파주읍 부곡리 177-3
41,200173,509010,2025,41131102,지에스25태평,,경기도 성남시 수정구 남문로69번길 5-6,41131,편의점,14152542.41,4501570.477,경기도 성남시 수정구 태평동 3154
41,200174,509010,2025,41590400,세븐일레븐화성용소리점,,경기도 화성시 양감면 용소금각로 56,41590,편의점,14134868.23,4449866.237,경기도 화성시 양감면 용소리 867-3
41,200175,509010,2025,41360101,아이아이,,경기도 남양주시 늘을3로 65-8,41360,편의점,14165153.77,4531502.562,경기도 남양주시 호평동 617-2
41,200176,509010,2025,41173102,씨유관양벤처다임점,,경기도 안양시 동안구 학의로 250,41173,편의점,14133872.93,4495275.252,경기도 안양시 동안구 관양동 1307-37
